description,location,price_naira,bedrooms,bathrooms,city,house_type,building_age
4 Bedroom Apartment With Bq,Banana Island Estate Ikoyi Lagos,50000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
Self Serviced 4 Bedroom Semi Detached Duplex With Bq,"Banana Island Estate, Ikoyi Lagos",45000000.0,4.0,4.0,Ikoyi,duplex,Old
3 Bedroom Flat,Ikoyi Lagos Ikoyi Lagos,25000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,25000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
Newly Built 2 Bedroom Apartment,Old Ikoyi Ikoyi Lagos,24999999.0,2.0,2.0,Ikoyi,flat & apartment,New
Neatly Built 4 Bedroom Semi Detached Duplex,Orchid Lekki Lagos,8000000.0,4.0,4.0,Lekki,duplex,Old
Furnished 3 Bedroom Apartment+bq,Off Banana Island Road Ikoyi Lagos,45000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
4 Bedroom Terrace House + Bq,Ikate Lekki Lagos,15000000.0,4.0,4.0,Lekki,,Old
3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,25000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
3 Bedroom Apartment,Old Ikoyi Old Ikoyi Ikoyi Lagos,45000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
3 Bedroom Apartment,Victoria Island Lagos,42000000.0,3.0,3.0,Victoria Island,flat & apartment,Old
2 Bedroom Terrace Duplex With Bq,Banana Island Estate Ikoyi Lagos,29999999.0,2.0,2.0,Ikoyi,duplex,Old
Luxury 2 Bedroom Apartment,Victoria Island Victoria Island Lagos,25000000.0,2.0,2.0,Victoria Island,flat & apartment,Old
2 Bedroom Apartment,Central Ikoyi Ikoyi Lagos,12000000.0,2.0,2.0,Ikoyi,flat & apartment,Old
Premium 4 Bedroom Terrace House+ Bq+pool,Parkview Estate Parkview Estate Ikoyi Lagos,19999999.0,4.0,4.0,Ikoyi,,Old
Premium 4 Bedroom Apartment + Bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,40000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
